"MARCA_VEHICULO","total"
"ACURA",2760
"ALFA-ROMEO",386
"ASIA HERO",334
"AUDI",9557
"AUSTIN",118
"BAJAJ",7445
"BLUE BIRD",1814
"BMW",29148
"BUD TRUCKS",118
"BUICK",337
"BYD",706
"CADILLAC",655
"CAIO",145
"CAN-AM",102
"CARMEX",103
"CFMOTO",216
"CHANA",465
"CHANGAN",10105
"CHANGHE",273
"CHERY",968
"CHEVROLET",83524
"CHRYSLER",1743
"CITROEN",811
"CMC",296
"CNJ",443
"COLT",615
"COTTRELL",246
"DAEWOO",1687
"DAIHATSU",3069
"DATSUN",12889
"DFSK",184
"DODGE",13643
"DONGFENG",507
"DORSEY",741
"EAGLE",940
"FAW",387
"FIAT",6728
"FORD",80091
"FOTON",4524
"FREIGHTLINER",41128
"FRUEHAUF",2828
"FUSO",1772
"GEELY",168
"GEO",10814
"GMC",10637
"GREAT DANE",3176
"GREAT WALL",827
"HAFEI",158
"HEIL",376
"HINO",32233
"HOBBS",123
"HONDA",262511
"HUMMER",1131
"HYUNDAI",130178
"INFINITI",623
"INTERNATIONAL",40804
"ISUZU",67957
"JAC",10620
"JAGUAR",837
"JEEP",17911
"JIM",121
"JINBEI",201
"JMC",371
"JMT",137
"KAWASAKI",273
"KENWORTH",4054
"KIA",122560
"KORANDO",120
"LADA",112
"LAND ROVER",5799
"LEXUS",2834
"LINCOLN",327
"LUBISA",926
"LUFKIN",611
"MACK",2589
"MAHINDRA",2365
"MARCOPOLO",250
"MASERATI",192
"MAXUS",222
"MAZDA",239009
"MCI",685
"MERCEDES-BENZ",24423
"MERCURY",704
"METAGRO",140
"MG",370
"MINI",4416
"MITSUBISHI",137435
"MONON",362
"MONTERROSO",351
"NISSAN",157416
"OLDSMOBILE",227
"OPEL",340
"PETERBILT",1622
"PEUGEOT",5198
"PINES",334
"PLYMOUTH",3015
"POLARIS",390
"PONTIAC",1766
"PORSCHE",2746
"RAM",944
"RANDON",137
"RANGE ROVER",128
"RENAULT",5324
"RIVAS",102
"ROBECA",3171
"ROVER",320
"SAAB",157
"SATURN",738
"SCANIA",376
"SCION",14585
"SEAT",1048
"SINOTRUK",170
"SKODA",616
"SMART",426
"SSANG YONG",1528
"STERLING",2008
"STOUGHTON",993
"STRICK",1211
"SUBARU",8734
"SUZUKI",44243
"TABSA",106
"THOMAS",191
"TOYOTA",975155
"TRAILMOBILE",1637
"TRANSOAC",1371
"TRIUMPH",106
"UD TRUCKS",4476
"UTILITY",1536
"VOLKSWAGEN",57062
"VOLVO",11599
"WABASH",1619
"WANFENG",211
"WESTERN STAR",376
"WHITE GMC",772
"WILLYS",881
"WULING",687
"YAMAHA",314
"ZX",1567
